instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,cnt
2005,29/03/2011,2,0,3,9,0,2,1,1,0.28,0.2576,0.28,0.3881,172
2006,29/03/2011,2,0,3,10,0,2,1,1,0.3,0.2727,0.24,0.2985,59
2007,29/03/2011,2,0,3,11,0,2,1,2,0.34,0.303,0.25,0.3881,81
2008,29/03/2011,2,0,3,12,0,2,1,1,0.34,0.3333,0.25,0.1642,106
2009,29/03/2011,2,0,3,13,0,2,1,1,0.34,0.303,0.25,0.2985,104
2010,29/03/2011,2,0,3,14,0,2,1,1,0.36,0.3333,0.25,0.2537,86
2011,29/03/2011,2,0,3,15,0,2,1,1,0.38,0.3939,0.25,0.2239,87
2012,29/03/2011,2,0,3,16,0,2,1,1,0.38,0.3939,0.22,0.1642,136
2013,29/03/2011,2,0,3,17,0,2,1,1,0.4,0.4091,0.2,0.1343,299
2014,29/03/2011,2,0,3,18,0,2,1,1,0.36,0.3636,0.21,0.0896,294
2015,29/03/2011,2,0,3,19,0,2,1,1,0.34,0.3333,0.23,0.194,190
2016,29/03/2011,2,0,3,20,0,2,1,1,0.36,0.3636,0.21,0.0896,132
2017,29/03/2011,2,0,3,21,0,2,1,1,0.34,0.3636,0.42,0,83
2018,29/03/2011,2,0,3,22,0,2,1,1,0.34,0.3636,0.49,0,55
2019,29/03/2011,2,0,3,23,0,2,1,2,0.32,0.3333,0.57,0.1045,35
2020,30/03/2011,2,0,3,0,0,3,1,2,0.32,0.3485,0.57,0,11
2021,30/03/2011,2,0,3,1,0,3,1,1,0.32,0.3485,0.39,0,10
2022,30/03/2011,2,0,3,2,0,3,1,2,0.32,0.3485,0.57,0,4
2023,30/03/2011,2,0,3,3,0,3,1,2,0.32,0.3485,0.49,0,4
2024,30/03/2011,2,0,3,4,0,3,1,2,0.32,0.3485,0.57,0,1
2025,30/03/2011,2,0,3,5,0,3,1,2,0.3,0.2879,0.56,0.194,7
2026,30/03/2011,2,0,3,6,0,3,1,2,0.3,0.303,0.49,0.1343,48
2027,30/03/2011,2,0,3,7,0,3,1,2,0.32,0.3333,0.45,0.1045,136
2028,30/03/2011,2,0,3,8,0,3,1,2,0.32,0.3182,0.49,0.1642,263
2029,30/03/2011,2,0,3,9,0,3,1,2,0.32,0.303,0.45,0.2239,154
2030,30/03/2011,2,0,3,10,0,3,1,2,0.34,0.3182,0.46,0.2239,64
2031,30/03/2011,2,0,3,11,0,3,1,2,0.34,0.3182,0.46,0.2537,90
2032,30/03/2011,2,0,3,12,0,3,1,2,0.34,0.3333,0.46,0.1642,80
2033,30/03/2011,2,0,3,13,0,3,1,2,0.36,0.3485,0.46,0.2239,98
2034,30/03/2011,2,0,3,14,0,3,1,2,0.36,0.3333,0.46,0.2985,80
2035,30/03/2011,2,0,3,15,0,3,1,3,0.28,0.2576,0.81,0.2985,70
2036,30/03/2011,2,0,3,16,0,3,1,3,0.28,0.2727,0.87,0.2537,36
2037,30/03/2011,2,0,3,17,0,3,1,3,0.26,0.2727,0.93,0.1045,116
2038,30/03/2011,2,0,3,18,0,3,1,2,0.26,0.2576,0.93,0.2239,85
2039,30/03/2011,2,0,3,19,0,3,1,2,0.26,0.2576,0.93,0.2239,72
2040,30/03/2011,2,0,3,20,0,3,1,3,0.24,0.2121,0.93,0.2985,44
2041,30/03/2011,2,0,3,21,0,3,1,2,0.24,0.2273,0.93,0.2537,27
2042,30/03/2011,2,0,3,22,0,3,1,3,0.24,0.2273,0.93,0.2239,24
2043,30/03/2011,2,0,3,23,0,3,1,3,0.24,0.2121,0.93,0.2836,12
2044,31/03/2011,2,0,3,0,0,4,1,3,0.24,0.2273,0.93,0.2239,3
2045,31/03/2011,2,0,3,1,0,4,1,3,0.24,0.2273,0.93,0.194,5
2046,31/03/2011,2,0,3,2,0,4,1,3,0.24,0.2273,0.93,0.194,5
2047,31/03/2011,2,0,3,3,0,4,1,3,0.24,0.2273,0.93,0.2239,1
2048,31/03/2011,2,0,3,4,0,4,1,3,0.24,0.2273,0.93,0.2537,2
2049,31/03/2011,2,0,3,5,0,4,1,3,0.24,0.2273,0.93,0.2239,8
2050,31/03/2011,2,0,3,6,0,4,1,3,0.24,0.2121,0.93,0.2985,36
2051,31/03/2011,2,0,3,7,0,4,1,3,0.24,0.2273,0.93,0.2537,92
2052,31/03/2011,2,0,3,8,0,4,1,2,0.24,0.2273,1,0.2537,192
2053,31/03/2011,2,0,3,9,0,4,1,3,0.26,0.2424,0.93,0.2537,132
2054,31/03/2011,2,0,3,10,0,4,1,3,0.26,0.2424,0.93,0.2537,69
2055,31/03/2011,2,0,3,11,0,4,1,3,0.28,0.2727,0.93,0.194,58
2056,31/03/2011,2,0,3,12,0,4,1,3,0.28,0.2727,0.93,0.194,90
2057,31/03/2011,2,0,3,13,0,4,1,3,0.3,0.303,0.87,0.1343,68
2058,31/03/2011,2,0,3,14,0,4,1,3,0.3,0.303,0.87,0.1343,76
2059,31/03/2011,2,0,3,15,0,4,1,3,0.3,0.2727,0.87,0.2985,65
2060,31/03/2011,2,0,3,16,0,4,1,2,0.3,0.2879,0.87,0.2537,85
2061,31/03/2011,2,0,3,17,0,4,1,2,0.3,0.2879,0.87,0.2537,168
2062,31/03/2011,2,0,3,18,0,4,1,2,0.3,0.303,0.87,0.1343,177
2063,31/03/2011,2,0,3,19,0,4,1,2,0.3,0.303,0.87,0.1343,130
2064,31/03/2011,2,0,3,20,0,4,1,3,0.28,0.2576,0.93,0.2836,85
2065,31/03/2011,2,0,3,21,0,4,1,2,0.28,0.2727,0.93,0.1642,60
2066,31/03/2011,2,0,3,22,0,4,1,3,0.28,0.2727,0.93,0.2537,51
2067,31/03/2011,2,0,3,23,0,4,1,3,0.26,0.2576,1,0.1642,27
2068,01/04/2011,2,0,4,0,0,5,1,3,0.26,0.2576,1,0.1642,6
2069,01/04/2011,2,0,4,1,0,5,1,3,0.26,0.2576,1,0.1642,4
2070,01/04/2011,2,0,4,2,0,5,1,3,0.26,0.2576,0.93,0.194,7
2071,01/04/2011,2,0,4,3,0,5,1,2,0.24,0.2273,0.93,0.2537,4
2072,01/04/2011,2,0,4,4,0,5,1,2,0.24,0.2273,0.93,0.2537,3
2073,01/04/2011,2,0,4,5,0,5,1,3,0.24,0.2273,0.93,0.2239,12
2074,01/04/2011,2,0,4,6,0,5,1,3,0.24,0.2273,0.93,0.2239,28
2075,01/04/2011,2,0,4,7,0,5,1,3,0.24,0.2424,0.93,0,95
2076,01/04/2011,2,0,4,8,0,5,1,2,0.26,0.2424,0.87,0.2537,206
2077,01/04/2011,2,0,4,9,0,5,1,1,0.32,0.2879,0.7,0.3582,173
2078,01/04/2011,2,0,4,10,0,5,1,1,0.32,0.303,0.66,0.2836,75
2079,01/04/2011,2,0,4,11,0,5,1,1,0.32,0.2879,0.61,0.3582,89
2080,01/04/2011,2,0,4,12,0,5,1,1,0.34,0.303,0.53,0.3582,95
2081,01/04/2011,2,0,4,13,0,5,1,1,0.36,0.3333,0.5,0.3582,110
2082,01/04/2011,2,0,4,14,0,5,1,2,0.36,0.3333,0.46,0.3582,87
2083,01/04/2011,2,0,4,15,0,5,1,1,0.34,0.303,0.46,0.4179,111
2084,01/04/2011,2,0,4,16,0,5,1,1,0.34,0.303,0.46,0.4179,167
2085,01/04/2011,2,0,4,17,0,5,1,1,0.34,0.303,0.46,0.3284,281
2086,01/04/2011,2,0,4,18,0,5,1,1,0.34,0.303,0.46,0.3284,241
2087,01/04/2011,2,0,4,19,0,5,1,1,0.34,0.303,0.49,0.3284,136
2088,01/04/2011,2,0,4,20,0,5,1,1,0.32,0.3182,0.53,0.194,77
2089,01/04/2011,2,0,4,21,0,5,1,1,0.32,0.3333,0.53,0.1343,93
2090,01/04/2011,2,0,4,22,0,5,1,1,0.3,0.303,0.56,0.1642,74
2091,01/04/2011,2,0,4,23,0,5,1,1,0.3,0.3182,0.61,0.0896,53
2092,02/04/2011,2,0,4,0,0,6,0,2,0.3,0.3333,0.61,0,32
2093,02/04/2011,2,0,4,1,0,6,0,1,0.26,0.2727,0.65,0.1343,32
2094,02/04/2011,2,0,4,2,0,6,0,1,0.24,0.2424,0.75,0.1343,21
2095,02/04/2011,2,0,4,3,0,6,0,1,0.24,0.2424,0.7,0.1642,9
2096,02/04/2011,2,0,4,4,0,6,0,1,0.24,0.2424,0.7,0.1642,5
2097,02/04/2011,2,0,4,5,0,6,0,2,0.24,0.2424,0.75,0.1642,5
2098,02/04/2011,2,0,4,6,0,6,0,1,0.26,0.2727,0.7,0.1045,12
2099,02/04/2011,2,0,4,7,0,6,0,2,0.26,0.2727,0.7,0.1045,18
2100,02/04/2011,2,0,4,8,0,6,0,1,0.3,0.3182,0.7,0.1045,55
2101,02/04/2011,2,0,4,9,0,6,0,2,0.34,0.3485,0.66,0.1045,87
2102,02/04/2011,2,0,4,10,0,6,0,2,0.36,0.3485,0.57,0.1642,154
2103,02/04/2011,2,0,4,11,0,6,0,2,0.4,0.4091,0.47,0.1642,198
2104,02/04/2011,2,0,4,12,0,6,0,3,0.32,0.3333,0.81,0.1343,184
2105,02/04/2011,2,0,4,13,0,6,0,1,0.34,0.3333,0.81,0.1343,137
2106,02/04/2011,2,0,4,14,0,6,0,3,0.32,0.303,0.76,0.3284,190
2107,02/04/2011,2,0,4,15,0,6,0,3,0.34,0.303,0.76,0.3881,136
2108,02/04/2011,2,0,4,16,0,6,0,1,0.38,0.3939,0.62,0.3284,196
2109,02/04/2011,2,0,4,17,0,6,0,1,0.38,0.3939,0.54,0.3582,184
2110,02/04/2011,2,0,4,18,0,6,0,1,0.38,0.3939,0.54,0.194,179
2111,02/04/2011,2,0,4,19,0,6,0,1,0.36,0.3333,0.53,0.3582,148
2112,02/04/2011,2,0,4,20,0,6,0,1,0.34,0.3182,0.53,0.2836,85
2113,02/04/2011,2,0,4,21,0,6,0,1,0.32,0.303,0.61,0.2537,77
2114,02/04/2011,2,0,4,22,0,6,0,1,0.32,0.303,0.61,0.2985,55
2115,02/04/2011,2,0,4,23,0,6,0,1,0.32,0.3182,0.61,0.1642,53
2116,03/04/2011,2,0,4,0,0,0,0,1,0.3,0.2879,0.65,0.194,39
2117,03/04/2011,2,0,4,1,0,0,0,1,0.3,0.3182,0.61,0.1045,34
2118,03/04/2011,2,0,4,2,0,0,0,1,0.26,0.2727,0.7,0.1343,24
2119,03/04/2011,2,0,4,3,0,0,0,1,0.3,0.3333,0.61,0,11
2120,03/04/2011,2,0,4,4,0,0,0,1,0.28,0.303,0.7,0.0896,3
2121,03/04/2011,2,0,4,5,0,0,0,1,0.28,0.2727,0.65,0.2239,5
2122,03/04/2011,2,0,4,6,0,0,0,1,0.28,0.2727,0.65,0.194,33
2123,03/04/2011,2,0,4,7,0,0,0,1,0.32,0.303,0.57,0.2239,33
2124,03/04/2011,2,0,4,8,0,0,0,1,0.34,0.3333,0.57,0.1642,62
2125,03/04/2011,2,0,4,9,0,0,0,1,0.36,0.3182,0.5,0.4925,142
2126,03/04/2011,2,0,4,10,0,0,0,1,0.4,0.4091,0.43,0.4179,215
2127,03/04/2011,2,0,4,11,0,0,0,1,0.42,0.4242,0.41,0.2537,243
2128,03/04/2011,2,0,4,12,0,0,0,1,0.44,0.4394,0.38,0.2836,313
2129,03/04/2011,2,0,4,13,0,0,0,1,0.44,0.4394,0.33,0.2985,367
2130,03/04/2011,2,0,4,14,0,0,0,1,0.46,0.4545,0.31,0.1343,349
2131,03/04/2011,2,0,4,15,0,0,0,2,0.46,0.4545,0.33,0,292
2132,03/04/2011,2,0,4,16,0,0,0,2,0.46,0.4545,0.31,0.194,303
2133,03/04/2011,2,0,4,17,0,0,0,2,0.46,0.4545,0.28,0.1343,274
2134,03/04/2011,2,0,4,18,0,0,0,2,0.46,0.4545,0.31,0,172
2135,03/04/2011,2,0,4,19,0,0,0,2,0.42,0.4242,0.44,0.194,144
2136,03/04/2011,2,0,4,20,0,0,0,3,0.42,0.4242,0.41,0.2239,79
2137,03/04/2011,2,0,4,21,0,0,0,2,0.42,0.4242,0.44,0.2239,45
2138,03/04/2011,2,0,4,22,0,0,0,1,0.4,0.4091,0.43,0.1045,36
2139,03/04/2011,2,0,4,23,0,0,0,1,0.4,0.4091,0.5,0.0896,31
2140,04/04/2011,2,0,4,0,0,1,1,1,0.4,0.4091,0.5,0.2239,6
2141,04/04/2011,2,0,4,1,0,1,1,1,0.4,0.4091,0.56,0.3582,11
2142,04/04/2011,2,0,4,2,0,1,1,1,0.38,0.3939,0.66,0.2537,2
2143,04/04/2011,2,0,4,3,0,1,1,1,0.38,0.3939,0.66,0.2836,1
2144,04/04/2011,2,0,4,4,0,1,1,1,0.38,0.3939,0.71,0.2985,2
2145,04/04/2011,2,0,4,5,0,1,1,1,0.4,0.4091,0.62,0.2537,7
2146,04/04/2011,2,0,4,6,0,1,1,1,0.42,0.4242,0.58,0.2836,46
2147,04/04/2011,2,0,4,7,0,1,1,2,0.44,0.4394,0.54,0.2537,157
2148,04/04/2011,2,0,4,8,0,1,1,2,0.46,0.4545,0.55,0.2985,339
2149,04/04/2011,2,0,4,9,0,1,1,2,0.5,0.4848,0.51,0.3881,158
2150,04/04/2011,2,0,4,10,0,1,1,2,0.54,0.5152,0.45,0.3582,90
2151,04/04/2011,2,0,4,11,0,1,1,1,0.6,0.6212,0.4,0.3881,124
2152,04/04/2011,2,0,4,12,0,1,1,1,0.64,0.6212,0.36,0.4627,157
2153,04/04/2011,2,0,4,13,0,1,1,1,0.68,0.6364,0.34,0.3284,139
2154,04/04/2011,2,0,4,14,0,1,1,2,0.74,0.6515,0.27,0.4925,123
2155,04/04/2011,2,0,4,15,0,1,1,1,0.76,0.6667,0.23,0.5522,143
2156,04/04/2011,2,0,4,16,0,1,1,1,0.76,0.6515,0.22,0.5224,189
2157,04/04/2011,2,0,4,17,0,1,1,1,0.74,0.6515,0.23,0.6119,366
2158,04/04/2011,2,0,4,18,0,1,1,2,0.72,0.6364,0.23,0.4925,386
2159,04/04/2011,2,0,4,19,0,1,1,1,0.7,0.6364,0.24,0.4627,278
2160,04/04/2011,2,0,4,20,0,1,1,2,0.7,0.6364,0.24,0.5522,173
2161,04/04/2011,2,0,4,21,0,1,1,2,0.7,0.6364,0.3,0.4478,95
2162,04/04/2011,2,0,4,22,0,1,1,2,0.68,0.6364,0.36,0.4627,75
2163,04/04/2011,2,0,4,23,0,1,1,2,0.64,0.6212,0.47,0.2239,48
2164,05/04/2011,2,0,4,0,0,2,1,1,0.62,0.6212,0.5,0.1045,22
2165,05/04/2011,2,0,4,1,0,2,1,3,0.62,0.6212,0.57,0.4179,15
2166,05/04/2011,2,0,4,2,0,2,1,2,0.54,0.5152,0.73,0.3284,5
2167,05/04/2011,2,0,4,3,0,2,1,2,0.54,0.5152,0.73,0.3284,4
2168,05/04/2011,2,0,4,4,0,2,1,3,0.5,0.4848,0.88,0.4925,2
2169,05/04/2011,2,0,4,5,0,2,1,3,0.46,0.4545,0.94,0.2985,5
2170,05/04/2011,2,0,4,6,0,2,1,2,0.48,0.4697,0.88,0.3284,38
2171,05/04/2011,2,0,4,7,0,2,1,2,0.48,0.4697,0.88,0.3284,134
2172,05/04/2011,2,0,4,8,0,2,1,3,0.38,0.3939,0.87,0.5821,157
2173,05/04/2011,2,0,4,9,0,2,1,3,0.36,0.3182,0.87,0.4925,46
2174,05/04/2011,2,0,4,10,0,2,1,3,0.34,0.303,0.81,0.3881,28
2175,05/04/2011,2,0,4,11,0,2,1,3,0.32,0.2879,0.81,0.4478,19
2176,05/04/2011,2,0,4,12,0,2,1,2,0.34,0.303,0.71,0.3881,38
2177,05/04/2011,2,0,4,13,0,2,1,2,0.36,0.3333,0.63,0.4179,56
2178,05/04/2011,2,0,4,14,0,2,1,2,0.36,0.3182,0.57,0.4925,76
2179,05/04/2011,2,0,4,15,0,2,1,1,0.4,0.4091,0.46,0.4627,68
2180,05/04/2011,2,0,4,16,0,2,1,1,0.38,0.3939,0.46,0.4179,130
2181,05/04/2011,2,0,4,17,0,2,1,1,0.42,0.4242,0.38,0.4179,273
2182,05/04/2011,2,0,4,18,0,2,1,1,0.38,0.3939,0.4,0.4925,267
2183,05/04/2011,2,0,4,19,0,2,1,1,0.36,0.3333,0.43,0.2985,160
2184,05/04/2011,2,0,4,20,0,2,1,1,0.34,0.3182,0.46,0.2836,91
2185,05/04/2011,2,0,4,21,0,2,1,1,0.34,0.2879,0.46,0.5224,89
2186,05/04/2011,2,0,4,22,0,2,1,1,0.32,0.303,0.49,0.2985,46
2187,05/04/2011,2,0,4,23,0,2,1,1,0.3,0.2879,0.49,0.2836,26
2188,06/04/2011,2,0,4,0,0,3,1,1,0.3,0.3182,0.49,0.1045,15
2189,06/04/2011,2,0,4,1,0,3,1,1,0.26,0.2727,0.6,0.1343,2
2190,06/04/2011,2,0,4,2,0,3,1,1,0.24,0.2424,0.7,0.1343,5
2191,06/04/2011,2,0,4,3,0,3,1,1,0.26,0.2727,0.6,0.1343,4
2192,06/04/2011,2,0,4,4,0,3,1,1,0.24,0.2424,0.65,0.1343,1
2193,06/04/2011,2,0,4,5,0,3,1,1,0.24,0.2576,0.7,0.1045,13
2194,06/04/2011,2,0,4,6,0,3,1,1,0.24,0.2576,0.7,0.1045,56
2195,06/04/2011,2,0,4,7,0,3,1,1,0.26,0.2727,0.65,0.1045,133
2196,06/04/2011,2,0,4,8,0,3,1,1,0.32,0.303,0.61,0.2239,325
2197,06/04/2011,2,0,4,9,0,3,1,1,0.36,0.3333,0.46,0.2537,165
2198,06/04/2011,2,0,4,10,0,3,1,1,0.4,0.4091,0.37,0.3881,69
2199,06/04/2011,2,0,4,11,0,3,1,1,0.42,0.4242,0.38,0.3881,93
2200,06/04/2011,2,0,4,12,0,3,1,1,0.44,0.4394,0.41,0.2537,134
2201,06/04/2011,2,0,4,13,0,3,1,1,0.46,0.4545,0.38,0.4925,112
2202,06/04/2011,2,0,4,14,0,3,1,1,0.5,0.4848,0.34,0.4179,115
2203,06/04/2011,2,0,4,15,0,3,1,1,0.52,0.5,0.32,0.3284,117
2204,06/04/2011,2,0,4,16,0,3,1,1,0.54,0.5152,0.28,0.4179,169
2205,06/04/2011,2,0,4,17,0,3,1,1,0.52,0.5,0.32,0.4478,356
2206,06/04/2011,2,0,4,18,0,3,1,1,0.52,0.5,0.29,0.3582,325
2207,06/04/2011,2,0,4,19,0,3,1,1,0.5,0.4848,0.31,0.2985,232
2208,06/04/2011,2,0,4,20,0,3,1,1,0.46,0.4545,0.51,0.2239,141
2209,06/04/2011,2,0,4,21,0,3,1,1,0.46,0.4545,0.41,0.2836,102
2210,06/04/2011,2,0,4,22,0,3,1,1,0.46,0.4545,0.41,0.2836,84
2211,06/04/2011,2,0,4,23,0,3,1,1,0.46,0.4545,0.41,0.2985,40
2212,07/04/2011,2,0,4,0,0,4,1,1,0.46,0.4545,0.41,0.2836,20
2213,07/04/2011,2,0,4,1,0,4,1,1,0.42,0.4242,0.47,0.1343,13
2214,07/04/2011,2,0,4,2,0,4,1,1,0.42,0.4242,0.54,0,7
2215,07/04/2011,2,0,4,3,0,4,1,1,0.36,0.3485,0.66,0.194,3
2216,07/04/2011,2,0,4,4,0,4,1,1,0.34,0.3333,0.76,0.194,1
2217,07/04/2011,2,0,4,5,0,4,1,1,0.34,0.3182,0.76,0.2239,6
2218,07/04/2011,2,0,4,6,0,4,1,1,0.32,0.303,0.81,0.2537,64
2219,07/04/2011,2,0,4,7,0,4,1,2,0.34,0.3333,0.76,0.1642,160
2220,07/04/2011,2,0,4,8,0,4,1,1,0.36,0.3485,0.76,0.194,314
2221,07/04/2011,2,0,4,9,0,4,1,2,0.4,0.4091,0.66,0.1343,170
2222,07/04/2011,2,0,4,10,0,4,1,2,0.42,0.4242,0.67,0.1045,95
2223,07/04/2011,2,0,4,11,0,4,1,2,0.46,0.4545,0.55,0,122
2224,07/04/2011,2,0,4,12,0,4,1,2,0.46,0.4545,0.55,0,153
2225,07/04/2011,2,0,4,13,0,4,1,2,0.52,0.5,0.48,0.0896,135
2226,07/04/2011,2,0,4,14,0,4,1,1,0.56,0.5303,0.43,0.0896,157
2227,07/04/2011,2,0,4,15,0,4,1,1,0.6,0.6212,0.38,0.1045,160
2228,07/04/2011,2,0,4,16,0,4,1,1,0.6,0.6212,0.35,0,213
2229,07/04/2011,2,0,4,17,0,4,1,1,0.52,0.5,0.52,0.2836,343
2230,07/04/2011,2,0,4,18,0,4,1,1,0.48,0.4697,0.55,0.2537,333
2231,07/04/2011,2,0,4,19,0,4,1,1,0.46,0.4545,0.59,0.2985,226
2232,07/04/2011,2,0,4,20,0,4,1,1,0.44,0.4394,0.62,0.1642,203
2233,07/04/2011,2,0,4,21,0,4,1,2,0.44,0.4394,0.67,0.2836,108
2234,07/04/2011,2,0,4,22,0,4,1,2,0.4,0.4091,0.76,0.194,81
2235,07/04/2011,2,0,4,23,0,4,1,1,0.38,0.3939,0.76,0.2537,54
2236,08/04/2011,2,0,4,0,0,5,1,2,0.36,0.3485,0.76,0.2239,25
2237,08/04/2011,2,0,4,1,0,5,1,2,0.34,0.3333,0.76,0.1343,9
2238,08/04/2011,2,0,4,2,0,5,1,3,0.34,0.3333,0.76,0.1642,13
2239,08/04/2011,2,0,4,3,0,5,1,3,0.34,0.3333,0.76,0.1642,1
2240,08/04/2011,2,0,4,4,0,5,1,2,0.34,0.3333,0.86,0.1343,1
2241,08/04/2011,2,0,4,5,0,5,1,2,0.32,0.3182,0.87,0.194,9
2242,08/04/2011,2,0,4,6,0,5,1,2,0.34,0.3636,0.87,0,35
2243,08/04/2011,2,0,4,7,0,5,1,3,0.34,0.3333,0.87,0.1642,113
2244,08/04/2011,2,0,4,8,0,5,1,3,0.34,0.3333,0.87,0.1642,221
2245,08/04/2011,2,0,4,9,0,5,1,2,0.36,0.3485,0.76,0.194,185
2246,08/04/2011,2,0,4,10,0,5,1,2,0.36,0.3333,0.71,0.2836,73
2247,08/04/2011,2,0,4,11,0,5,1,2,0.4,0.4091,0.62,0.3881,98
2248,08/04/2011,2,0,4,12,0,5,1,3,0.38,0.3939,0.66,0.2239,80
2249,08/04/2011,2,0,4,13,0,5,1,3,0.36,0.3333,0.76,0.2836,42
2250,08/04/2011,2,0,4,14,0,5,1,3,0.34,0.3182,0.87,0.2239,15
2251,08/04/2011,2,0,4,15,0,5,1,3,0.34,0.3182,0.87,0.2239,25
2252,08/04/2011,2,0,4,16,0,5,1,2,0.32,0.303,0.93,0.2537,60
2253,08/04/2011,2,0,4,17,0,5,1,3,0.32,0.303,0.93,0.2537,148
2254,08/04/2011,2,0,4,18,0,5,1,3,0.32,0.303,0.93,0.2537,62
2255,08/04/2011,2,0,4,19,0,5,1,3,0.3,0.2727,0.93,0.4179,53
2256,08/04/2011,2,0,4,20,0,5,1,2,0.3,0.2727,0.93,0.3284,63
2257,08/04/2011,2,0,4,21,0,5,1,2,0.3,0.2879,0.93,0.2537,54
2258,08/04/2011,2,0,4,22,0,5,1,2,0.3,0.2727,0.93,0.2985,51
2259,08/04/2011,2,0,4,23,0,5,1,2,0.3,0.2879,0.93,0.2239,35
2260,09/04/2011,2,0,4,0,0,6,0,2,0.3,0.2879,0.87,0.2239,31
2261,09/04/2011,2,0,4,1,0,6,0,2,0.3,0.303,0.87,0.1343,20
2262,09/04/2011,2,0,4,2,0,6,0,2,0.32,0.303,0.87,0.2239,17
2263,09/04/2011,2,0,4,3,0,6,0,3,0.3,0.2879,1,0.2537,14
2264,09/04/2011,2,0,4,4,0,6,0,3,0.3,0.2727,1,0.2537,3
2265,09/04/2011,2,0,4,5,0,6,0,2,0.3,0.2879,0.93,0.2239,5
2266,09/04/2011,2,0,4,6,0,6,0,2,0.3,0.2879,0.93,0.194,13
2267,09/04/2011,2,0,4,7,0,6,0,2,0.3,0.303,0.93,0.1642,21
2268,09/04/2011,2,0,4,8,0,6,0,2,0.32,0.303,0.93,0.1642,54
2269,09/04/2011,2,0,4,9,0,6,0,2,0.34,0.3485,0.87,0.1045,98
2270,09/04/2011,2,0,4,10,0,6,0,2,0.34,0.3333,0.87,0.1343,133
2271,09/04/2011,2,0,4,11,0,6,0,2,0.36,0.3636,0.81,0,142
2272,09/04/2011,2,0,4,12,0,6,0,2,0.36,0.3485,0.81,0.1343,202
2273,09/04/2011,2,0,4,13,0,6,0,2,0.36,0.3788,0.81,0,222
2274,09/04/2011,2,0,4,14,0,6,0,2,0.36,0.3485,0.81,0.1343,212
2275,09/04/2011,2,0,4,15,0,6,0,2,0.36,0.3788,0.87,0,201
2276,09/04/2011,2,0,4,16,0,6,0,2,0.38,0.3939,0.82,0,191
2277,09/04/2011,2,0,4,17,0,6,0,2,0.38,0.3939,0.82,0.0896,257
2278,09/04/2011,2,0,4,18,0,6,0,2,0.38,0.3939,0.82,0.1045,177
2279,09/04/2011,2,0,4,19,0,6,0,2,0.38,0.3939,0.82,0.1343,130
2280,09/04/2011,2,0,4,20,0,6,0,2,0.38,0.3939,0.87,0.1642,93
2281,09/04/2011,2,0,4,21,0,6,0,2,0.36,0.3485,0.93,0.1343,75
2282,09/04/2011,2,0,4,22,0,6,0,2,0.36,0.3485,0.93,0.1343,87
2283,09/04/2011,2,0,4,23,0,6,0,2,0.38,0.3939,0.87,0.0896,57
2284,10/04/2011,2,0,4,0,0,0,0,2,0.38,0.3939,0.87,0.0896,53
2285,10/04/2011,2,0,4,1,0,0,0,2,0.38,0.3939,0.87,0.1343,37
2286,10/04/2011,2,0,4,2,0,0,0,2,0.38,0.3939,0.87,0.0896,36
2287,10/04/2011,2,0,4,3,0,0,0,2,0.38,0.3939,0.87,0.1343,16
2288,10/04/2011,2,0,4,4,0,0,0,2,0.36,0.3636,0.93,0.1045,5
2289,10/04/2011,2,0,4,5,0,0,0,2,0.36,0.3636,0.93,0.0896,4
2290,10/04/2011,2,0,4,6,0,0,0,2,0.36,0.3636,0.93,0.0896,4
2291,10/04/2011,2,0,4,7,0,0,0,2,0.36,0.3636,1,0.0896,10
2292,10/04/2011,2,0,4,8,0,0,0,2,0.38,0.3939,0.94,0.0896,55
2293,10/04/2011,2,0,4,9,0,0,0,2,0.38,0.3939,0.94,0.1343,81
2294,10/04/2011,2,0,4,10,0,0,0,2,0.4,0.4091,0.87,0,150
2295,10/04/2011,2,0,4,11,0,0,0,2,0.4,0.4091,0.87,0.1343,202
2296,10/04/2011,2,0,4,12,0,0,0,2,0.42,0.4242,0.88,0.1343,230
2297,10/04/2011,2,0,4,13,0,0,0,1,0.46,0.4545,0.82,0.1045,263
2298,10/04/2011,2,0,4,14,0,0,0,1,0.5,0.4848,0.72,0.194,281
2299,10/04/2011,2,0,4,15,0,0,0,1,0.5,0.4848,0.77,0.2239,297
2300,10/04/2011,2,0,4,16,0,0,0,2,0.52,0.5,0.72,0.1642,288
2301,10/04/2011,2,0,4,17,0,0,0,2,0.52,0.5,0.72,0.194,236
2302,10/04/2011,2,0,4,18,0,0,0,1,0.5,0.4848,0.77,0.194,240
2303,10/04/2011,2,0,4,19,0,0,0,1,0.5,0.4848,0.77,0.194,131
2304,10/04/2011,2,0,4,20,0,0,0,1,0.46,0.4545,0.82,0.1343,92
2305,10/04/2011,2,0,4,21,0,0,0,1,0.44,0.4394,0.88,0.194,95
2306,10/04/2011,2,0,4,22,0,0,0,1,0.44,0.4394,0.94,0.2537,57
2307,10/04/2011,2,0,4,23,0,0,0,1,0.46,0.4545,0.88,0.3582,32
2308,11/04/2011,2,0,4,0,0,1,1,1,0.48,0.4697,0.88,0.3284,23
2309,11/04/2011,2,0,4,1,0,1,1,1,0.46,0.4545,0.94,0.2836,4
2310,11/04/2011,2,0,4,2,0,1,1,1,0.46,0.4545,0.94,0.2836,9
